,SVC_s42,SVC_s123,SVC_s2026,CatBoost_s42,CatBoost_s123,CatBoost_s2026,RF_s42,RF_s123,RF_s2026,ET_s42,ET_s123,ET_s2026,HGB_s42,HGB_s123,HGB_s2026
SVC_s42,0.0,0.22625,0.2215625,0.334375,0.3540625,0.3615625,0.415625,0.4278125,0.425625,0.4428125,0.453125,0.4553125,0.3909375,0.405625,0.4090625
SVC_s123,0.22625,0.0,0.240625,0.3615625,0.343125,0.360625,0.4284375,0.4140625,0.4259375,0.4496875,0.4471875,0.4521875,0.4159375,0.389375,0.4115625
SVC_s2026,0.2215625,0.240625,0.0,0.351875,0.3584375,0.3396875,0.42,0.4303125,0.4153125,0.45125,0.451875,0.44375,0.4028125,0.405,0.395
CatBoost_s42,0.334375,0.3615625,0.351875,0.0,0.2146875,0.2034375,0.285625,0.30375,0.296875,0.331875,0.3465625,0.344375,0.285,0.3134375,0.3134375
CatBoost_s123,0.3540625,0.343125,0.3584375,0.2146875,0.0,0.2121875,0.3028125,0.2859375,0.3084375,0.345,0.3390625,0.3515625,0.3175,0.286875,0.3240625
CatBoost_s2026,0.3615625,0.360625,0.3396875,0.2034375,0.2121875,0.0,0.3040625,0.3059375,0.281875,0.3403125,0.3484375,0.3365625,0.3053125,0.3090625,0.2884375
RF_s42,0.415625,0.4284375,0.42,0.285625,0.3028125,0.3040625,0.0,0.178125,0.175625,0.171875,0.2075,0.20875,0.354375,0.3728125,0.3784375
RF_s123,0.4278125,0.4140625,0.4303125,0.30375,0.2859375,0.3059375,0.178125,0.0,0.1865625,0.213125,0.1734375,0.209375,0.36875,0.3565625,0.3796875
RF_s2026,0.425625,0.4259375,0.4153125,0.296875,0.3084375,0.281875,0.175625,0.1865625,0.0,0.20125,0.205625,0.175,0.37125,0.3690625,0.359375
ET_s42,0.4428125,0.4496875,0.45125,0.331875,0.345,0.3403125,0.171875,0.213125,0.20125,0.0,0.1390625,0.1371875,0.394375,0.4028125,0.408125
ET_s123,0.453125,0.4471875,0.451875,0.3465625,0.3390625,0.3484375,0.2075,0.1734375,0.205625,0.1390625,0.0,0.1396875,0.4078125,0.3925,0.4040625
ET_s2026,0.4553125,0.4521875,0.44375,0.344375,0.3515625,0.3365625,0.20875,0.209375,0.175,0.1371875,0.1396875,0.0,0.4046875,0.4,0.3940625
HGB_s42,0.3909375,0.4159375,0.4028125,0.285,0.3175,0.3053125,0.354375,0.36875,0.37125,0.394375,0.4078125,0.4046875,0.0,0.2909375,0.2975
HGB_s123,0.405625,0.389375,0.405,0.3134375,0.286875,0.3090625,0.3728125,0.3565625,0.3690625,0.4028125,0.3925,0.4,0.2909375,0.0,0.3003125
HGB_s2026,0.4090625,0.4115625,0.395,0.3134375,0.3240625,0.2884375,0.3784375,0.3796875,0.359375,0.408125,0.4040625,0.3940625,0.2975,0.3003125,0.0
